rok,stan_fips,stan_nazwa,populacja_total,pct_ponizej_18lat,pct_powyzej_65lat,mediana_dochodu_gosp_dom,pct_ubóstwo,pct_zatrudnieni,pct_bezrobocie,pct_dojazd_samochod,pct_dojazd_carpool,pct_dojazd_transport_pub,pct_dojazd_pieszo,pct_praca_z_domu,sredni_czas_dojazdu_min,pct_wyksztalcenie_srednie,pct_wyksztalcenie_wyzsze,pct_bez_ubezpieczenia,liczba_jednostek_mieszkalnych,pct_mieszkania_wynajmowane,liczba_gospodarstw_domowych,pct_gospodarstwa_z_dziecmi,pct_dostep_internet
2014,FIPS:38,North Dakota,739482,49.0,1.5,59029,7.4,66.5,2.1,81.3,8.3,0.7,3.5,5.3,17.6,27.4,566668,92.1,350534,36.2,305431,,74.7
2014,FIPS:39,Ohio,11594163,51.7,0.0,49308,11.6,58.7,4.5,83.6,7.8,1.7,2.2,3.6,23.2,26.6,8950281,91.6,5147282,34.7,4593172,,73.9
2014,FIPS:40,Oklahoma,3878051,51.1,0.0,47529,12.2,57.3,3.4,82.3,10.5,0.4,1.7,3.6,21.3,24.2,2908631,84.6,1699556,34.9,1459759,,69.2
2014,FIPS:41,Oregon,3970239,51.0,0.0,51075,11.0,56.6,4.8,70.5,10.8,4.7,4.0,6.4,23.1,30.8,3108465,90.3,1700611,39.3,1535511,,78.9
2014,FIPS:42,Pennsylvania,12787209,51.7,0.0,53234,9.4,58.1,4.4,76.4,8.5,5.7,3.9,4.1,26.4,29.0,10083267,91.5,5590712,31.2,4945972,,73.9
2014,FIPS:44,Rhode Island,1055173,52.2,,54891,10.0,59.7,5.0,80.3,7.4,3.0,3.9,3.8,24.0,30.4,839652,92.6,462630,41.2,409654,,76.5
2014,FIPS:45,South Carolina,4832482,52.0,0.0,45238,13.2,54.9,4.9,82.7,9.3,0.7,2.2,3.4,24.1,26.3,3719245,86.4,2188258,32.0,1826914,,68.1
2014,FIPS:46,South Dakota,853175,50.2,7.3,50979,9.4,66.5,2.7,79.2,9.2,0.5,4.2,5.5,16.7,27.8,639250,90.2,376347,31.8,334475,,71.6
2014,FIPS:47,Tennessee,6549352,52.0,0.0,44361,13.7,55.7,4.7,83.4,9.2,0.9,1.5,3.7,24.5,25.3,5040995,88.0,2869419,33.9,2509665,,68.2
2014,FIPS:48,Texas,26956958,50.9,0.0,53035,13.4,60.2,3.9,80.4,10.6,1.6,1.6,4.0,25.6,27.8,19753531,80.9,10426760,38.8,9277197,,73.0
2014,FIPS:50,Vermont,626562,51.4,,54166,8.7,62.5,3.6,76.3,8.7,1.1,5.4,7.1,22.1,34.9,504214,95.0,325774,30.0,257229,,76.3
2014,FIPS:49,Utah,2942902,50.3,0.0,60922,8.5,64.0,3.3,76.0,11.8,2.5,2.4,5.5,21.6,31.1,2033220,87.5,1022593,30.8,918370,,81.7
2014,FIPS:51,Virginia,8326289,51.4,0.0,64902,8.3,60.6,3.9,77.7,9.3,4.7,2.2,4.4,28.1,36.7,6352059,89.1,3446585,34.7,3083820,,77.2
2014,FIPS:53,Washington,7061530,50.4,0.0,61366,8.8,59.1,4.1,72.4,10.1,6.3,3.5,5.5,26.8,33.1,5409997,90.8,2963293,38.3,2679601,,81.9
2014,FIPS:54,West Virginia,1850326,51.1,,41059,13.1,49.5,3.7,83.0,9.7,0.7,2.9,2.5,25.7,19.2,1466192,91.4,884574,27.8,735375,,66.2
2014,FIPS:55,Wisconsin,5757564,50.8,0.0,52622,9.0,63.3,3.5,80.9,8.2,1.9,3.2,4.1,21.9,28.4,4455877,92.7,2648342,33.4,2307685,,75.3
2014,FIPS:56,Wyoming,584153,49.2,0.1,57055,7.4,64.8,2.9,76.8,11.0,1.6,3.6,4.8,18.7,26.6,444076,88.0,268205,33.1,232594,,76.1
2015,FIPS:28,Mississippi,2992333,52.3,,40593,17.0,51.4,5.0,85.4,9.2,0.3,1.5,2.1,24.3,20.8,2253662,87.3,1300932,67.4,1104371,,61.0
2015,FIPS:29,Missouri,6083672,51.6,0.0,50238,10.2,59.4,3.3,81.8,8.7,1.6,1.9,4.8,23.6,27.8,4670930,90.2,2746644,66.1,2374180,,73.3
2015,FIPS:30,Montana,1032949,50.0,0.3,49509,9.3,59.0,2.8,74.5,10.4,0.8,5.6,6.0,18.0,30.6,803198,88.4,494222,66.7,414804,,75.0
